,cone_angl,axial_speed,axial_speed_1,axial_speed_2,axial_speed_3,axial_speed_4,axial_speed_5,axial_speed_6,axial_speed_7,axial_speed_8,axial_speed_9,axial_speed_10,axial_speed_11,axial_speed_12,axial_speed_13,axial_speed_14,axial_speed_15,axial_speed_16,axial_speed_17,axial_speed_18,axial_speed_19,axial_speed_20,axial_speed_21,axial_speed_22,axial_speed_23,axial_speed_24,axial_speed_25,axial_speed_26,axial_speed_27,axial_speed_28,axial_speed_29,Tang_speed,Tang_speed_1,Tang_speed_2,Tang_speed_3,Tang_speed_4,Tang_speed_5,Tang_speed_6,Tang_speed_7,Tang_speed_8,Tang_speed_9,Tang_speed_10,Tang_speed_11,Tang_speed_12,Tang_speed_13,Tang_speed_14,Tang_speed_15,Tang_speed_16,Tang_speed_17,Tang_speed_18,Tang_speed_19,Tang_speed_20,Tang_speed_21,Tang_speed_22,Tang_speed_23,Tang_speed_24,Tang_speed_25,Tang_speed_26,Tang_speed_27,Tang_speed_28
PCA Component 10,0.09445962334649409,0.03471210638534607,0.02434229593852144,0.03293384663773738,0.06449765700081492,0.06439135337669344,0.048973852700028936,0.03506601365067022,-0.00036834815133912624,-0.024096711281185512,-0.051673358258405785,-0.07302520949232072,-0.08169830005783552,-0.09148181911365764,-0.07541968831899046,-0.05053306274157484,-0.023923348881288893,0.044009899221937696,0.11274078898718978,0.07628793432100378,0.02091561497916627,-0.034358665327092607,-0.1414505121971132,-0.1514704889017695,0.043622541401729394,0.11092898521263884,0.16421740180322691,0.24384355003046843,0.21811342993761235,0.03686679627739729,-0.21783497195698928,-0.2544574471704296,-0.06528275066925557,0.028743099618568607,0.036079976945894904,0.0794757760955312,0.1263925170515801,0.14468125711289498,0.15190246873159657,0.14718734482591378,0.15129459418331243,0.13141500626969416,0.11336033221545336,0.07800444633598719,0.04928511467258309,0.0160068857485964,-0.01235088375733099,-0.03953561308612998,-0.056695902548260464,-0.07904084228508844,-0.10491212969967345,-0.13042563603786528,-0.15891974893214375,-0.1726057311263149,-0.19293694391336794,-0.20314886053613526,-0.24625228883962094,-0.2935750824206594,-0.08358859870743951,0.36651184802229086
PCA Component 11,-0.011828818628005186,0.10928958018422133,0.13478602729651615,0.09193413216851681,0.053644403752044274,0.009816227390483608,-0.06028141026791004,-0.05835365345643429,-0.11576853194061386,-0.15648219554102893,-0.16182311037667613,-0.14368579544089713,-0.12666024149246438,-0.06755750224629026,0.05255415911289768,0.18386976900446433,0.23554140376949317,0.19702568513342,0.22405457349510405,0.14573426764348213,-0.1463632493801308,-0.3033946781111088,-0.06761267668657968,0.07050457998799384,0.27866442672532055,0.34503451653617934,0.23251217600341034,-0.04482173283375897,-0.3113517451655135,-0.27514404867451137,0.17770639209912942,0.0816055344449916,0.11269755269081394,0.0447334954464171,-0.02948262927946612,-0.07004580029969494,-0.08730132647409906,-0.08703012648235404,-0.06638705755797573,-0.050458329720485535,-0.030897900513272288,-0.022142912404721417,-0.003807746017401042,0.02028162892818764,0.02195717465095401,0.01698133559048719,0.02087334626841141,0.003612696461634443,0.008397343914582122,0.01973202122928812,0.007324051596624349,0.0071486013375735465,0.009864963930939025,0.011057596672602052,0.0097868624384176,-0.00904507112233665,-0.024421983619306906,-0.018769142889163398,0.002462241042013389,0.0966684798657303
PCA Component 12,0.05978699477631021,0.1384405299061283,0.10906630457801524,0.0346954677068345,-0.022013229766077003,-0.05719233171290847,-0.08207486509834663,-0.07163969604891357,-0.07030022901228512,-0.06782222047309909,-0.06531843580645341,-0.01293291362335175,-0.0028118251688475926,0.060135047953229034,0.04971788783804992,0.10943777563699118,0.12368424276658613,0.09085465595888714,-0.006937144992869071,-0.1507959492227714,-0.17942868713524807,-0.22154676700845002,0.3114544934181121,0.25669168595943287,0.04311392367186619,-0.07912444209290713,-0.1269552579304775,-0.11715821005097835,0.03933323996953495,0.0957632857935665,-0.04888363697355476,-0.3996680326586983,-0.017182693802320403,0.1707782395279036,0.22608909169618022,0.1863724717898428,0.15573958191904394,0.12489364005678782,0.08516724026970336,0.059202111793131916,0.03966345232948665,-4.395852281737017e-06,-0.01783671734528568,-0.03755129994189298,-0.060427758779587365,-0.0877680685762979,-0.10581360819437118,-0.11945249855701873,-0.12568026413249705,-0.12831519499633653,-0.1304854384858544,-0.1254770140920176,-0.11772660834920387,-0.1153961471084289,-0.06394547761267896,-0.0012385432157134657,0.09183765601990602,0.22728149686729052,0.16557200953851184,-0.15913394363414396
PCA Component 13,-0.03388280510302739,-0.020630582000408508,0.00736282878286432,0.015624487126346107,0.010716564370204268,0.016611639640012013,-0.008828002417421446,-0.0025561010941690943,0.009500415322176076,-0.0056698131369261745,-0.0006884898933532946,-0.007790237678726386,0.00822965910931922,0.05588828458478334,0.08187354144052983,0.08266925841917211,0.0629179224103571,0.126333080424826,0.02795683432721649,0.011660634252216473,-0.19993581598863147,-0.3520800218450053,0.4299276127851778,0.2173123630004176,-0.1453803967064771,-0.1706934883444124,-0.2270117418073248,-0.08187658574333188,0.12489705064957562,0.1534249925230989,-0.09126888995620028,0.2560914924474939,-0.03129167105268481,-0.18245533745146034,-0.1820877277949121,-0.13596806662838515,-0.08831394596718456,-0.035689011216098944,0.00914852661423323,0.05915805831678391,0.09049393861240435,0.1237828851647512,0.13224725189122566,0.1263280374447575,0.11068350146428968,0.11800466759597292,0.10417867132504215,0.09105416885587707,0.0769703419451546,0.06880555011803371,0.05198038712204661,0.03444413752380761,0.025920900471407333,0.014251846381061313,-0.029250129299558388,-0.06685835901691599,-0.13855995947625008,-0.24911027649757847,-0.15264322605626804,0.1272606933724617
PCA Component 14,-0.026152122132090765,0.10434900407583875,0.07783165535710287,0.031025152681164854,-0.03274704124883786,-0.04781363014362695,-0.06585219220534602,-0.07349856254583935,-0.07801166219402453,-0.057627905454213535,-0.021503711926536138,0.022168641519530047,0.058509865469099365,0.08872517003079561,0.1566527681584488,0.11330274378109814,0.11464362998518382,0.048040129998176084,-0.06313344104237967,-0.11150585280029907,-0.4795934622454011,0.42462261755321823,0.3025408864667664,-0.5277191031758072,-0.06150049275569672,-0.0260889670958332,0.139231246775665,0.12019382159989547,-0.04761113639878645,-0.112858145239321,0.05102889622607094,0.032692557699298026,-0.016225949764678803,-0.057063631197649935,-0.03670878557381889,-0.04455531116191134,-0.006642967899896977,0.02460594686643024,0.04344067564902136,0.05233577369724752,0.04893750870469069,0.05105734440638748,0.04842678884836913,0.05975146517897654,0.0571762283532299,0.054471393979616596,0.03910509591465207,0.02524552245376553,0.006956821240785003,-0.01529530566154293,-0.024537872638953843,-0.024959022751792098,-0.03395699388905031,-0.037520067517615496,-0.025101557226577396,0.00396500086588704,0.01968108106737672,0.03153528654803768,0.006552054704735686,-0.050149802901477386
PCA Component 15,0.01441359226623868,0.05144671258057325,-0.01766599615950893,-0.05475573387010073,-0.04184268574083305,-0.03499220018247817,-0.028131865358281403,-0.01482128449582383,-0.0007032853059541905,0.050002176410495425,0.05583518909307602,0.03924098254347396,0.0531726283391257,0.03750328383663977,0.006910160984494262,-0.04913181491188612,-0.14878262306394438,-0.11981917586766141,-0.02426943616574953,0.1479239827200737,0.3659172318626418,-0.45782983440358316,0.46164429004531304,-0.4138000952012085,-0.07482905552186872,-0.008193522925878594,0.14270260662122544,0.2335082142759319,-0.06363887586587642,-0.16368811025042493,0.0875366631895514,-0.038294909833741106,0.0010511318402730357,0.00933663785888171,0.03178818450404225,0.059394303251442036,0.04695661734981104,0.04733158397951515,0.025893333849802167,0.01291700718312142,-0.029410634246759847,-0.04455924948065946,-0.06410070280874552,-0.0907512237270513,-0.08313587629412879,-0.07283972931696057,-0.05772760706313589,-0.04306417525772895,-0.025173592877131567,-0.006042393494789623,0.015362409454458803,0.03221205266246671,0.05739167612621087,0.07187553264564148,0.08034616260320455,0.07666684847917833,0.04651545614073374,-0.01485121690681418,-0.02113603269878523,0.024007505959206327
PCA Component 16,0.012420031973817742,0.29547748948486874,0.20513317624839972,0.047409251605069404,-0.07816943804513299,-0.21496996532263848,-0.21242549413861717,-0.2117330881089371,-0.1536339184541997,-0.08279543148523036,0.021985895784412,0.09888412770379368,0.16081058554756758,0.2341580834907207,0.16113449378404296,0.20412373471869028,0.14231602129625787,-0.039490723495124405,-0.36030729514089677,-0.2924877371072109,0.3530808550773004,0.03510662769055377,-0.17428503233732806,0.09594445337501273,-0.004608685146340552,-0.02003535668825089,0.0873373482216981,-0.0450681756691087,-0.014087510719804179,-0.027724925725234804,0.017532689616653503,0.009851736228975881,-0.06951894620501399,0.02738587133516022,0.0327299290814818,0.006079236871758724,-0.01790374651818144,0.027909584217626158,0.04612437274309849,0.042345810937325166,0.03447923180580605,0.042506761337655054,0.02359187945820781,0.014512252600520057,0.019346789635758904,0.00889425958538108,0.008605714417992879,0.019153750150488445,0.0166904167319667,0.0332993825919598,0.03138750748581866,0.04579464330168145,0.05153303846066365,0.07002868800771467,0.037393351446561536,-0.026845384076264578,-0.07837106210382373,-0.2255223465538694,-0.14495946284175554,0.1193493099293865
PCA Component 17,0.017181429979093495,0.040626380675166274,0.013989698867206255,-0.007439817274514329,0.00478327898795157,0.02052954738821293,0.04434295283362515,0.0541472723817058,0.06769840959276724,0.07068068985300188,0.01865807213527977,-0.014869940033991249,-0.0334184525575425,0.01921829018779822,0.04081626117622959,0.03892934982653401,-0.04042356829689911,-0.05225040547979652,-0.09309001834607145,-0.10567582359505212,0.219398788094498,-0.08901167010758837,-0.06484204589743993,0.0726361375211026,-0.02320099776108725,0.06114634488889212,0.1448514652305859,0.04378797330297224,-0.13285024730481199,-0.0824827777444762,0.05350663246109065,0.28741113010081293,-0.08753690926732609,-0.33784495707415624,-0.2386379693748069,-0.08409901321421455,0.03070789202122187,0.11616959060408782,0.15372536649424043,0.15857543961824708,0.17712273397837738,0.19355082485642378,0.16369367606639115,0.11418452858557983,0.08403782433938642,0.043637481186215625,0.016530808002829703,-0.03131379851071459,-0.07238360554020638,-0.1005044344621673,-0.13733883064162458,-0.15860476805406395,-0.18226089342577292,-0.20602014146434985,-0.15972270518158843,-0.09322013466052648,0.08080638211332412,0.32064294482659467,0.2560537440952053,-0.19686592812443104
PCA Component 18,-0.02368845424917343,-0.1768895181397515,-0.11764351285426572,0.014419829120252477,0.06472571018419135,0.09889704716541654,0.09450681258667032,0.0997572874980345,0.06701398928180602,8.364019447079651e-05,-0.10872863163216057,-0.11802288192632311,-0.14455876068136236,-0.09881737685100661,-0.071420931448167,0.2139402069909131,0.24722798016077527,0.13434195669305643,-0.07718562556378658,-0.40058902109551936,0.19554878498450878,0.005669456878678009,0.036528198150394986,0.02279012297150033,-0.08189761119670452,-0.2248243588199618,-0.1511000952971202,0.46199570723652683,0.00379030921674936,-0.21658852928530706,0.07343935066194318,-0.1384005586267724,0.18018621574138732,0.1609827792096917,-0.004797158056325397,-0.08090378043965052,-0.11497708638994478,-0.10467437232675865,-0.11156434478923886,-0.0761425983484747,-0.04988626214020128,0.012220361964308481,0.005385771063685611,0.03268583340010225,0.06117572955421887,0.07552426309728007,0.07553196144719485,0.06069463386639048,0.04364141932339129,0.04095091445476164,0.026627180558116584,0.015762227007787916,0.0050392087715137816,-0.03418952758654804,-0.050524415260157635,-0.07591735932447322,-0.06898096757006768,0.07141676659154006,0.06990307788305837,-0.0037368313321585315
PCA Component 19,0.010372798455987327,0.1255298853505922,0.05463805863867609,-0.0023720609418079013,-0.027367909459563543,-0.05872555725185839,-0.06237115310431787,-0.06121382897959238,-0.06328428817709907,0.0024212443219982643,0.042180421943580765,0.021738171112882676,0.0071972559318070894,0.004381264759177925,-0.07536017941999147,-0.043848034579881845,-0.01891119330911542,0.0903170279987586,0.20922453609927583,0.10413223944568845,-0.19125160688073548,0.0605501596286146,-0.11157672830237701,0.3769333762086882,-0.45567259473065647,-0.16347860595678315,0.14023023169389381,0.436885830875233,-0.03849060309967073,-0.23007402567904975,0.08230978248206626,0.12718528245404,-0.1852670826003957,-0.04912198380658133,-0.008615447904236656,0.0697487277070948,0.09731972041732789,0.10788122474330662,0.09855411724900849,0.051908962978619654,-0.008428786194992483,-0.03490464513890364,-0.08575646741706629,-0.07994994416614323,-0.09116391188854822,-0.07797111289273613,-0.07654428318768189,-0.0724904251843514,-0.05098646733561464,-0.03385959239735631,-0.0039807473725888875,0.014530509908246792,0.03095769766602115,0.06075666597149775,0.11313210437039224,0.12328786077904165,0.09176855010230196,-0.008569042230732713,-0.11336478667830908,0.03879040007505771
