,cone_angl,axial_speed,axial_speed_1,axial_speed_2,axial_speed_3,axial_speed_4,axial_speed_5,axial_speed_6,axial_speed_7,axial_speed_8,axial_speed_9,axial_speed_10,axial_speed_11,axial_speed_12,axial_speed_13,axial_speed_14,axial_speed_15,axial_speed_16,axial_speed_17,axial_speed_18,axial_speed_19,axial_speed_20,axial_speed_21,axial_speed_22,axial_speed_23,axial_speed_24,axial_speed_25,axial_speed_26,axial_speed_27,axial_speed_28,axial_speed_29,Tang_speed,Tang_speed_1,Tang_speed_2,Tang_speed_3,Tang_speed_4,Tang_speed_5,Tang_speed_6,Tang_speed_7,Tang_speed_8,Tang_speed_9,Tang_speed_10,Tang_speed_11,Tang_speed_12,Tang_speed_13,Tang_speed_14,Tang_speed_15,Tang_speed_16,Tang_speed_17,Tang_speed_18,Tang_speed_19,Tang_speed_20,Tang_speed_21,Tang_speed_22,Tang_speed_23,Tang_speed_24,Tang_speed_25,Tang_speed_26,Tang_speed_27,Tang_speed_28,pls_ampl,frequency,label
318,13,-2.95018846381004,-3.06658657551603,-3.70818966826704,-4.18671347174288,-4.84215572984885,-5.39639006433752,-5.95881553893037,-6.40045610444348,-6.84087420377608,-7.36991297294659,-7.94140266527164,-8.48541386470422,-8.57348867873405,-8.92165439336875,-8.99323166071637,-9.39903400440249,-9.99301003659722,-10.4520162949282,-11.2480983040972,-11.6871479743393,-12.2248360469642,-12.3221166243593,-12.5670974956598,-12.6537589268855,-12.8592899173997,-12.6449973025888,-12.997967307074,-12.6374141912911,-10.6802586987453,-6.30310891970117,-6.222976129244,-8.16861000840288,-10.4359182134297,-11.6404746526216,-11.7438848742178,-11.9041249576897,-11.716307769422,-11.624752778406,-11.6483927695156,-11.3316034823151,-11.1807204619174,-11.4286037049081,-11.5936602386284,-11.240048101338,-10.8428356308148,-10.2238731073205,-9.57618616837292,-9.3746644592181,-9.29689311903051,-9.87581757147385,-10.0499112378042,-10.015067574047,-9.98197143994443,-9.82006624959262,-9.19500320452143,-9.00320927622531,-8.89523399860729,-7.64397096207199,-4.53626116151543,0.489689976,89.13308716,1
319,13,-3.36059807399571,-3.63208390559637,-4.12138231602421,-4.47815329298338,-5.18160110380029,-5.63544862712438,-6.12461702652045,-6.69248074575251,-7.16464483744312,-7.56043402279111,-8.10851435402467,-8.69569402172629,-8.88864820713837,-9.05185085101308,-9.13725543178176,-9.86115689836434,-10.1030000277798,-10.4777578941278,-10.8906403043779,-11.3730295740047,-11.9558149452823,-12.0818402652178,-12.2389887092108,-12.4174146847512,-12.3530754905071,-12.5524449798453,-12.370588071087,-12.4167300723484,-10.8148442854024,-6.45368514904558,-6.46152145749715,-9.89037568287998,-10.2793417014948,-10.6789774666426,-10.709300025471,-11.0132907183967,-11.0905744315349,-11.3533503668613,-11.3581670125789,-11.419075798554,-11.3592090424568,-11.2377798017616,-11.0668860096016,-10.9639922404864,-10.7537458430858,-10.4752230088369,-10.1058108542863,-9.77957173779028,-9.48188687352715,-9.26976201503996,-9.04426576300914,-8.98356487471877,-8.88326732885892,-8.68952224548987,-8.56138827333151,-8.51117257347378,-8.50206640205242,-7.39150683979209,-4.40198241054508,0.424810201,86.08058929,1
320,13,-3.24766702408429,-3.35666140721995,-3.9782049591407,-4.38812921594468,-4.86355174859732,-5.6569394029621,-6.21010853360713,-6.76100942034143,-7.08982044439823,-7.46275054676732,-8.12372306146162,-8.69879115985114,-9.10075130071524,-9.2826082038503,-9.22519589424101,-9.73737983872463,-9.79659666816134,-10.3875346202303,-10.9325729555908,-11.6176487651242,-11.8817078856713,-12.0124073588977,-11.9838523925138,-12.2785183560108,-12.1100079424619,-12.2004737146242,-12.2027168538338,-12.0420306076414,-10.3352213411548,-6.13094165966609,-5.54689255171043,-8.50056779068117,-9.6110416883368,-9.99185376113106,-10.2509317074205,-10.4493054408728,-10.6163787300096,-10.7330969185455,-10.8886202882589,-10.7164954852326,-10.7739012794603,-10.5453726732031,-10.2523137035326,-10.1227576018176,-9.75199598620601,-9.51162669605044,-9.12528971572139,-8.90300256979558,-8.6020480034399,-8.47412401347552,-8.19987655509507,-8.103469157993,-8.07803732201214,-8.05284164430712,-8.07010712170459,-7.99065879673319,-8.10459910409377,-7.07299297516023,-4.24036482309474,0.316778958,83.0280838,1
321,13,-3.95253796522207,-3.94679759631345,-4.0801908835287,-4.69341651400324,-5.18146209343376,-5.83012158404433,-6.17330156434164,-6.73360803376561,-7.0609174544977,-7.39763964127888,-8.23678240106049,-8.78691043666059,-9.1024323426337,-9.27997276596824,-9.46222818161418,-9.52339169007946,-10.2977132968659,-10.4861240988329,-10.8303535710562,-11.4206825976579,-11.4737439559887,-11.5642303866005,-11.7375532770361,-11.7229588732316,-11.7605650018064,-11.7295728022064,-11.6764619456091,-11.5081928137147,-9.8640350406164,-5.84896630514415,-5.25465352680336,-7.96683559333163,-8.96681817711653,-9.16455641364383,-9.50300598469166,-9.73551631599333,-9.98843076100383,-10.0212263271727,-10.09712129405,-9.84449286876178,-9.81184540779722,-9.73062615540182,-9.27791925164383,-9.12860682676396,-8.83086911341926,-8.49291378832216,-8.2182084970645,-8.00001070021939,-7.76844859278734,-7.74364674557004,-7.46171112028016,-7.54436639718932,-7.49293343236723,-7.43977317165544,-7.53564504254067,-7.58465771251325,-7.507232972686,-6.46345424060911,-3.83797368307157,0.19983086,79.36508179,1
322,13,-4.1276170691764,-4.23377816023663,-4.51749772335899,-4.77104501275171,-5.24293943422511,-5.97267047252527,-6.17753381600124,-6.64859747415378,-7.14878041376443,-7.69119924539542,-8.20468842043092,-8.86767335204814,-9.00745253520078,-9.29193005589056,-9.31388261139646,-9.68930705076565,-9.99894321873295,-10.5227692595308,-10.7861374422927,-11.2563787860822,-11.3286718347665,-11.4187765575802,-11.4848594546161,-11.387865224988,-11.4492633328929,-11.2901727450474,-11.1814784670042,-10.8060969707361,-9.07655286948201,-5.34493914156865,-4.78606742522063,-7.33457083791871,-8.38096836914248,-8.94035423202301,-9.14047100329427,-9.42964077378789,-9.58322535715178,-9.60474111651857,-9.5457966698566,-9.57611749187147,-9.27701591447286,-8.95883801654077,-8.81607230807216,-8.38175001149106,-8.1662686134543,-8.14649189774571,-7.90635447186171,-7.61292696266984,-7.40925032797568,-7.39464791834366,-7.30379063096199,-7.26526017047175,-7.25165735946532,-7.30831287913289,-7.34730767146887,-7.41357575483157,-7.61742110985699,-6.66395185849088,-4.01772236048988,0.132192999,77.53357697,1
323,13,-4.80399769595822,-5.03998909353796,-4.84640172521169,-5.16512221219417,-5.66135877511626,-6.21079847743967,-6.34853227790374,-6.80776408954484,-7.44216991717396,-8.01805095350736,-8.77945801391493,-8.94531102254496,-9.34871624114919,-9.5301882278484,-9.51570356973828,-9.8359844085453,-10.1251689472919,-10.7470380908423,-11.1384838332247,-11.222331167901,-11.4121418339839,-11.3460023309135,-11.3080950234454,-11.3839653167997,-11.2149885777316,-11.0162678021698,-11.0528650186613,-10.756760155874,-9.09997726151146,-5.37235909471505,-5.1615604919906,-7.66771628022356,-8.40306058666508,-8.44288091586835,-8.81287558253863,-9.15633723266829,-9.1394197876606,-9.04794952345984,-9.01635826379635,-8.64450780090329,-8.42147738651316,-8.28511540747053,-7.98936737635417,-7.88240395665011,-7.56399121210514,-7.36190490195688,-7.17664423634533,-6.97502316461604,-6.83051296358861,-6.79536334555882,-6.71910651172489,-6.77894810412107,-6.82440007840447,-6.85716508854774,-6.98298054471029,-7.06877428613132,-7.14002437198933,-6.22634067141149,-3.72598488816936,0.079305723,75.09157562,1
324,13,-5.23095795270325,-5.0847236742509,-5.22359505877397,-5.22637276247996,-5.70973721656158,-6.17823483486845,-6.61757369251107,-7.04087899194611,-7.54383113952905,-8.14421681323354,-8.75841322278002,-9.34309260210266,-9.800023480569,-9.74390759232954,-9.95081629115525,-10.1748710719837,-10.5513511029719,-10.8203763503613,-11.0539169953678,-11.241320406638,-11.4813199855785,-11.4381388284591,-11.6868413961845,-11.5401760544567,-11.4547336184488,-11.3773207689653,-11.1302473983839,-10.80997174768,-9.12584777897578,-5.38368595578525,-4.8653574641719,-7.11850592911211,-8.01956114841555,-8.19651215620937,-8.78721778792477,-8.84095484047213,-8.8048021042838,-8.65653331365554,-8.58577898765907,-8.46592134307079,-8.20676950042888,-7.96728201127474,-7.69287060329027,-7.48879356117991,-7.34445968918774,-7.1321627853608,-6.90567178926638,-6.78190915614289,-6.58375034065222,-6.55776788527546,-6.48408493481412,-6.40516722554613,-6.41167724079907,-6.45880206801658,-6.5308690928058,-6.60522676580216,-6.67486009618597,-5.82120600915176,-3.48424967852066,0.079572082,74.48107147,1
325,13,-4.05775846159476,-4.6134731181331,-4.37371629517483,-4.88949053701564,-5.46736526225486,-5.80814023803768,-6.59589790755638,-6.54795902311608,-7.53019281153638,-8.29142709208077,-9.07369305808641,-9.51190684765072,-10.0314582128928,-10.3671476766176,-10.4403282704299,-10.7063957720303,-10.9278517671196,-11.2435609668638,-11.6473890371078,-11.6877621127661,-11.8614224297277,-11.7703247502,-11.6982855723162,-11.8540337050284,-11.7489890938129,-11.629327667614,-11.4827651938275,-11.0142498030655,-9.1812462733801,-5.39134843925501,-3.11209247277523,-4.82694330038498,-5.27216037429108,-6.20482601703274,-6.56068612841414,-7.3588789694171,-7.53013672452092,-7.21356315826767,-7.97303512222133,-7.61936762583563,-7.55443897903921,-7.63476448166373,-7.33495948308122,-7.19258085832374,-6.98640585693819,-6.81502374646719,-6.58938633057753,-6.42791461537566,-6.25986265558862,-6.20053351913102,-6.03145655985731,-5.92923039855383,-6.01622878048424,-5.92747679617577,-6.10398188398167,-6.13875132396109,-6.3769278668325,-5.58998515975871,-3.38594737116658,0.080832221,75.70207214,1
326,13,-3.29240096147239,-3.6550957893634,-4.02974316707072,-4.32891691100752,-4.91940602828013,-5.69681424078685,-6.42717168842518,-7.02583310782085,-7.85835571582015,-8.6227733590594,-9.45094521639766,-10.2966751473233,-10.5010723126177,-10.7679638094996,-11.0152310399231,-11.1924761432814,-11.5676953970217,-11.5455405870627,-11.8835547787119,-11.9977634486526,-12.1467734489959,-12.2125626109184,-12.3622487008749,-11.9498566949338,-11.9321956402721,-11.9813989519633,-11.6127779161101,-11.5417398607741,-9.98032904279469,-5.93421666262787,-2.67751567860916,-3.67032194927968,-4.82184252496145,-5.42463320453225,-6.01915268831305,-6.35830186721613,-6.89094051074782,-7.1763908940885,-7.35237819041123,-7.39841073267795,-7.45720895647978,-7.28560504850279,-7.17200939008402,-6.91348055646621,-6.8100502412885,-6.64441985405956,-6.31996936760652,-6.04982610513002,-5.84690310653764,-5.72143401857579,-5.58858383538449,-5.50064898332043,-5.49110117553069,-5.47743328361574,-5.5043860947613,-5.59846189952413,-5.62577512112188,-4.90106017939089,-2.9261729885217,0.05911544,77.53357697,1
327,13,-3.71819557106307,-3.8190001678793,-4.09857047785562,-4.53300842431785,-5.44180498263561,-6.16604531531008,-6.89969200583934,-7.30182810673415,-8.36874947026623,-9.26487992801169,-9.9405078995181,-10.4552885831752,-10.7782529560179,-11.0025797456361,-11.345325061781,-11.3625250521416,-11.7670356844393,-11.9278051103163,-12.1757427034456,-12.2910656851539,-12.3239919434595,-12.3290728800221,-12.3028278865794,-12.2509366893937,-12.2102632848936,-12.1671580745838,-11.873154851189,-11.6658819810045,-9.9669624188913,-5.90381982364992,-2.89785241443362,-4.04818002364875,-4.77127310275252,-5.4606910269875,-5.98493859583819,-6.60754018044355,-6.91933251279935,-7.16251326774272,-7.33034477287791,-7.41429175369754,-7.24843724810584,-7.15227108894127,-6.98734234103844,-6.72393284253089,-6.62419971781665,-6.34977949884205,-6.00807287077009,-5.78538639230701,-5.54624426957595,-5.48304910008203,-5.31600744735099,-5.28506032946455,-5.23992705723297,-5.1548260928993,-5.10354629428886,-5.11526704640619,-5.10418206625811,-4.43227476160731,-2.63871464128814,0.037392203,73.2600708,1
