,axial_max,tang_max,index_of_axm,index_of_tnm,axial_in_mxt,tang_in_mxa,cone_angl,label
217,-11.3631953092838,-10.3895445586647,23,39,-7.25227163654339,-8.09280010958857,10,1
218,-11.3714746011304,-9.95607873033381,22,40,-7.97160634782305,-7.80620080474922,10,1
219,-11.3184341502278,-9.39787930577134,23,39,-7.30710786353024,-7.20297062140684,10,1
220,-11.2073546672698,-9.25106719993303,24,39,-7.46822763182205,-6.7794171974685,10,1
221,-11.12753270303,-8.59212482684391,22,38,-7.27768398373217,-6.54188961139933,10,1
222,-11.1758256653145,-8.24518500972303,20,37,-6.87557789259296,-6.62867278786009,10,1
223,-11.4371410294817,-7.44830271978834,20,41,-9.4422153316676,-6.21835491366714,10,1
224,-11.6537968199561,-7.03443311476688,20,41,-9.82172230659667,-5.76794037885441,10,1
225,-11.6077791836737,-6.81533052222235,19,40,-9.70440429703145,-5.52433573922639,10,0
226,-11.4605626142199,-6.52695462249262,18,40,-10.140832236197,-5.47593778370882,10,0
227,-11.5299547939518,-6.30549178290638,17,39,-10.0115162102191,-5.44078708744945,10,0
228,-11.7669060322108,-6.27097118716566,21,40,-10.6877249199688,-4.47629497086719,10,0
229,-12.2119869999382,-6.57107365069933,16,37,-11.3373354467161,-4.77461106179493,10,0
230,-12.6019825018286,-7.38348278978668,1,34,-12.2433558925062,-8.67712487400442,10,0
231,-13.1164373062555,-6.52355613005995,1,34,-12.7445365336744,-8.73634434052802,10,0
232,-13.3480682243665,-5.44157929913125,1,35,-12.9075182548114,-9.1354918531886,10,0
233,-13.446085832214,-4.213272356606,1,37,-12.8584556081757,-9.22362673172445,10,0
234,-13.2473483821278,-3.38015177290135,1,40,-12.8096874861726,-9.13628812844207,10,0
235,-13.0812715563728,-2.68184110795716,2,40,-12.8786024783337,-8.25175172263513,10,0
236,-12.9708180565986,-2.0127084639821,4,40,-12.8339105402218,0.905018430835098,10,0
237,-12.9175839921431,-1.29676359904744,11,39,-12.9175839921431,-1.29676359904744,10,0
238,-15.2265874231315,-15.6615578962133,28,44,-8.55422053961945,-14.7200200369185,11,1
239,-15.2009348297772,-15.6782331770124,27,49,-11.4031416125853,-15.0550077598561,11,1
240,-15.1863469330318,-15.6013215505945,28,53,-14.0560321203214,-14.4895444325168,11,1
241,-14.9554988254797,-15.5961229565655,28,52,-13.341007450143,-14.3549887886539,11,1
242,-14.3221138384301,-15.0016054558748,28,52,-13.0024165574806,-13.7055974090627,11,1
243,-13.9486450703178,-14.2622503499582,27,49,-11.3380998690468,-13.5828843873224,11,1
244,-13.5562068665591,-13.5604102636976,27,49,-11.4238855921388,-12.8416039740013,11,1
245,-13.2961576252118,-12.8371269648822,27,49,-11.3860772221147,-12.2079872216883,11,1
246,-12.8881221510908,-12.2792780216461,28,48,-11.1065259827706,-11.5129543516754,11,1
247,-12.9153895982397,-12.2838557418685,26,41,-8.80026460869527,-10.878939368078,11,1
248,-12.9948332467823,-12.0511136481301,27,42,-8.84361485464369,-9.39165320518534,11,1
249,-13.156164361178,-11.9405902368776,27,41,-8.45109101518204,-9.03417615790888,11,1
250,-12.7952005449344,-11.6494506281194,27,40,-8.12938567002655,-8.59726490535971,11,1
251,-12.4876137108573,-11.2502922983318,27,39,-7.96503042090187,-8.14870624558631,11,1
252,-11.9901546049828,-10.7130004491537,25,39,-7.96624653516116,-7.72380071870141,11,1
253,-11.7327071625214,-10.2031860099812,24,38,-7.49018359607375,-7.39070705773301,11,1
254,-11.3726153133214,-9.74757085905554,24,39,-8.12691817396884,-7.13307343701897,11,1
255,-11.2918592827938,-8.9540615704488,24,37,-7.55145585570916,-6.56226776152006,11,1
256,-11.3984600755152,-8.48942072401559,24,38,-8.24130444159367,-6.13928438081621,11,1
257,-12.0500515628402,-7.62817339634582,24,40,-9.8100563042299,-5.75295661816477,11,1
258,-12.3192929074086,-7.30707796451212,23,40,-10.1993274165945,-5.4114508374509,11,1
259,-12.3980724018316,-7.20005705407956,22,40,-10.3095314161809,-5.18681784318878,11,1
260,-12.5063008372127,-6.88600018199094,20,39,-10.0523653750271,-5.17934708930089,11,0
261,-12.3856776821177,-6.64115602677613,18,38,-9.76568588005836,-5.29877145051679,11,0
262,-11.7765258739064,-6.56705625364501,18,39,-10.8725390259215,-4.89125971441469,11,0
263,-12.3102129279032,-6.50804124167612,14,34,-10.4974600838165,-4.68533262109454,11,0
264,-12.3956250170649,-7.72487348384096,10,32,-12.1010336996868,-5.79449984499957,11,0
265,-12.7540509831334,-6.6712296108438,7,32,-12.5312535358773,-5.92328002362513,11,0
266,-12.9727452700113,-5.54148484913453,1,33,-12.9351260268245,-7.41872441867709,11,0
267,-13.249521778094,-4.12952031769396,3,37,-12.8684467709998,-1.23448633377844,11,0
268,-13.207363502694,-3.64968390942367,1,39,-12.8936620451824,-8.03414349312563,11,0
269,-13.1286884434829,-3.05058307715578,3,39,-12.9551256693696,1.06325573721623,11,0
270,-13.0689269430317,-2.4950465822258,11,41,-13.0081599875333,-2.43104435249422,11,0
271,-13.1700334590502,-1.90618068806118,11,42,-12.9842335053349,-1.80297516165274,11,0
272,-13.4145597312637,-12.6195685722019,27,41,-6.19517179324977,-11.0171728534057,12,1
273,-13.3627859692603,-12.5122546739424,27,39,-5.35405217562226,-10.8858574497384,12,1
274,-13.4510975973581,-12.5522017264192,27,40,-5.72755751802896,-10.7503258264076,12,1
275,-12.9940976348491,-12.3941134126074,26,38,-5.33672536521007,-10.4254698891599,12,1
276,-12.5953640337073,-11.9702555597999,27,40,-6.42299351352522,-10.0745664863628,12,1
277,-12.2950550855774,-11.3262645584216,26,40,-6.91783910439182,-9.90125875821288,12,1
278,-12.0961625472867,-10.8355067253493,26,43,-8.10846156208874,-9.67152256563867,12,1
279,-11.9390512391589,-10.3333633566038,25,41,-7.63702629722545,-9.34441689889707,12,1
280,-11.7961374459499,-9.94564942607852,26,44,-8.90700870981332,-8.99726606668809,12,1
281,-11.6965227927823,-10.6153353252786,26,38,-6.71675193267594,-8.29491684785636,12,1
282,-11.8863627696957,-10.5448047421336,24,39,-7.19599622013397,-8.19645053715895,12,1
283,-11.8724653171882,-10.4407631389895,24,39,-7.40468409913258,-8.10614962943786,12,1
284,-11.8436281252579,-10.2064946165232,26,38,-6.99511929711994,-7.46851850718216,12,1
